Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Spencer Abbott;28;CAN;CHI;1;0;0;0;0;LW;575000;8.6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;15;4;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0
Justin Abdelkader;29;USA;DET;64;7;14;21;-20;LW;5500000;16.5;50;1;1;1;1;0;0;3;6;6;16;11;19;1;45;26.8;495;223;27;0.028;49;498;0.068;151;0.294;0.018;0;0;1;4;4;8
Pontus Aberg;23;SWE;NSH;15;1;1;2;-2;LW;842500;12.3;4;0;0;0;1;0;0;0;0;1;0;1;1;1;8;32.9;89;15;2;0.013;0;77;0.065;20;1;0.005;1;0;0;0;0;0
Noel Acciari;25;USA;BOS;29;2;3;5;3;C;892500;10.3;16;0;0;0;0;0;0;2;1;0;0;5;2;1;14;23.8;146;101;5;0.02;10;118;0.076;24;0.379;0.105;3;6;2;3;6;9
Kenny Agostino;24;USA;STL;7;1;2;3;0;LW;625000;12.8;2;0;0;0;1;0;0;0;4;0;2;3;0;0;8;31.4;34;14;3;0.046;4;57;0.07;10;0;0;0;0;0;0;0;0
Sebastian Aho;19;FIN;CAR;82;24;25;49;-1;RW;925000;16.7;26;1;2;4;7;1;0;9;26;8;17;47;12;7;97;26;561;91;14;0.014;77;757;0.094;167;0.486;0.027;1;0;11;10;5;8
Karl Alzner;28;CAN;WSH;82;3;10;13;23;D;2800000;19.8;28;0;0;0;1;0;0;2;2;0;25;19;1;0;34;53.5;840;295;162;0.097;4;641;0.097;305;0;0;0;0;0;0;0;0
Josh Anderson;22;CAN;CBJ;78;17;12;29;12;RW;700000;12;89;5;0;0;5;1;0;6;20;0;9;34;7;1;48;27.8;490;281;40;0.044;53;443;0.095;149;0.276;0.033;1;2;1;7;6;12
Rasmus Andersson;20;SWE;CGY;1;0;0;0;-1;D;742500;18.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;2;0.133;0;6;0;0;0;0;0;0;0;0;0;0
Andy Andreoff;25;CAN;L.A;36;0;2;2;-2;LW;600000;10.6;70;0;0;0;0;0;0;0;5;0;2;9;1;0;21;27.2;147;149;7;0.023;12;173;0.035;55;0.594;0.241;12;13;14;5;15;10
Sven Andrighetto;23;CHE;COL;46;7;17;24;1;RW;650000;14;12;1;0;1;0;1;1;3;5;0;7;7;2;1;46;29.9;289;74;22;0.042;16;318;0.088;71;0.7;0.016;0;0;1;1;6;2
Artem Anisimov;28;RUS;CHI;64;22;23;45;9;C;5750000;17.8;30;1;1;0;2;5;0;13;17;1;1;10;14;2;60;20.7;576;75;27;0.028;68;575;0.118;177;0.451;0.881;86;110;151;188;179;208
Josh Archibald;24;CAN;PIT;10;3;0;3;3;RW;667500;10.9;4;1;0;0;1;0;0;1;2;0;1;3;0;0;5;28.1;59;34;2;0.017;6;47;0.128;23;0;0.011;0;0;0;0;0;1
Joel Armia;23;FIN;WPG;57;10;9;19;-8;RW;875000;15;20;0;0;0;1;1;1;7;12;3;5;9;7;5;70;28.2;505;118;30;0.032;42;387;0.072;136;0.429;0.009;0;0;2;3;1;1
Viktor Arvidsson;23;SWE;NSH;80;31;30;61;16;LW;640000;17.1;28;1;1;3;2;5;0;19;24;2;48;17;12;4;139;29.4;677;96;45;0.038;72;828;0.103;184;0.25;0.012;0;0;0;2;4;10
Andreas Athanasiou;22;CAN;DET;64;18;11;29;-7;C;575000;13.4;28;1;1;2;3;0;0;11;15;2;9;16;3;2;73;27.3;425;81;21;0.028;39;402;0.1;114;0.446;0.106;9;7;15;23;13;16
Cam Atkinson;27;USA;CBJ;82;35;27;62;13;RW;3500000;18;22;1;0;3;13;2;0;16;25;3;21;68;6;3;114;29.2;778;89;34;0.023;96;808;0.11;255;0.667;0.002;2;1;0;0;0;0
Brady Austin;23;CAN;BUF;5;0;0;0;0;D;635000;16.1;4;0;0;0;0;0;0;0;0;0;1;1;0;0;6;57.8;45;10;0;0;0;53;0.057;12;0;0;0;0;0;0;0;0
Yohann Auvitu;27;FRA;N.J;25;2;2;4;1;D;792500;15.6;2;0;0;2;0;0;0;0;1;0;19;16;0;1;17;53.2;178;31;9;0.031;0;214;0.061;43;0;0;0;0;0;0;0;0
David Backes;32;USA;BOS;74;17;21;38;2;RW;8000000;17.1;69;0;2;2;5;2;0;6;14;3;10;36;16;0;96;33.9;517;345;47;0.048;65;776;0.084;126;0.488;0.094;20;22;12;19;28;22
Mikael Backlund;27;SWE;CGY;81;22;31;53;9;C;3575000;17.6;36;2;0;1;1;4;0;14;17;4;18;27;15;1;115;29.6;643;132;41;0.033;73;778;0.102;238;0.481;0.959;310;381;229;226;172;161
Nicklas Backstrom;29;SWE;WSH;82;23;63;86;17;C;7000000;18.3;38;3;1;1;4;2;0;12;12;4;14;34;12;0;86;30.6;635;116;33;0.027;64;858;0.119;217;0.514;0.815;170;205;247;213;268;230
