"Age";"GP";"G";"A";"PTS";"PlusMinus";"Salary"
28;1;0;0;0;0;575000
29;64;7;14;21;-20;5500000
23;15;1;1;2;-2;842500
25;29;2;3;5;3;892500
24;7;1;2;3;0;625000
19;82;24;25;49;-1;925000
28;82;3;10;13;23;2800000
22;78;17;12;29;12;700000
20;1;0;0;0;-1;742500
25;36;0;2;2;-2;600000
23;46;7;17;24;1;650000
28;64;22;23;45;9;5750000
24;10;3;0;3;3;667500
23;57;10;9;19;-8;875000
23;80;31;30;61;16;640000
22;64;18;11;29;-7;575000
27;82;35;27;62;13;3500000
23;5;0;0;0;0;635000
27;25;2;2;4;1;792500
32;74;17;21;38;2;8000000
27;81;22;31;53;9;3575000
29;82;23;63;86;17;7000000
24;68;18;17;35;-6;1700000
25;7;0;0;0;-1;874125
27;82;13;43;56;5;3700000
21;32;2;2;4;0;692500
21;14;3;1;4;1;740000
21;30;5;7;12;5;742500
22;3;0;0;0;0;667500
26;60;2;11;13;-5;800000
21;61;21;31;52;13;4500000
25;74;7;31;38;-34;5000000
28;24;1;1;2;-4;575000
19;2;0;0;0;-2;925000
29;9;0;0;0;-1;575000
31;81;13;17;30;20;1750000
36;81;5;13;18;-14;4500000
24;74;4;24;28;8;1000000
19;66;9;15;24;1;925000
25;5;0;0;0;-3;650000
28;49;3;5;8;-10;4000000
31;82;4;4;8;-1;725000
27;77;26;43;69;-9;5750000
29;71;4;13;17;-4;1100000
25;65;8;11;19;-3;725000
20;81;13;13;26;-16;925000
22;62;3;12;15;8;925000
31;79;21;32;53;12;8750000
28;82;23;11;34;-7;3700000
22;5;0;1;1;0;742500
21;7;0;0;0;-1;667500
30;11;1;0;1;-4;NA
28;36;0;3;3;-4;700000
35;81;3;11;14;0;4000000
26;29;0;7;7;-1;575000
21;26;6;7;13;4;600000
24;54;7;7;14;-19;3350000
22;27;3;6;9;-10;715000
21;19;1;1;2;-2;792500
30;2;0;0;0;0;725000
27;81;10;16;26;0;5200000
19;9;4;1;5;0;925000
26;56;2;9;11;-17;5250000
30;51;0;3;3;-3;900000
28;80;18;19;37;-5;2100000
27;70;1;2;3;-3;1100000
27;38;1;3;4;11;1050000
23;39;6;4;10;-6;715000
26;61;3;4;7;-2;2200000
24;19;2;1;3;-3;575000
26;6;0;0;0;0;800000
35;65;12;6;18;-19;650000
33;81;1;14;15;6;5600000
32;66;6;17;23;11;7000000
32;75;13;12;25;3;2000000
30;78;18;37;55;-1;4500000
29;81;14;25;39;12;5000000
29;81;4;9;13;1;3800000
26;82;6;30;36;-16;4838000
23;68;3;22;25;5;4000000
32;69;8;7;15;2;1000000
23;6;0;2;2;2;925000
31;74;13;12;25;-11;4500000
22;82;20;16;36;3;650000
32;80;14;22;36;-4;7000000
26;64;3;3;6;-7;1250000
24;14;0;0;0;-6;650000
21;41;8;12;20;6;925000
21;64;12;23;35;13;832500
28;2;0;0;0;-1;575000
25;49;5;11;16;-7;1600000
31;82;29;47;76;19;5760000
35;75;15;16;31;3;3000000
30;1;0;0;0;0;600000
31;80;13;39;52;10;8000000
27;81;22;21;43;21;1300000
22;60;7;11;18;3;925000
25;4;0;0;0;0;600000
31;18;2;2;4;-4;6500000
27;65;10;5;15;-4;2200000
34;61;10;21;31;-9;5000000
37;80;5;12;17;12;1500000
30;3;0;0;0;0;600000
28;6;0;0;0;-2;575000
32;6;0;1;1;-1;NA
20;82;6;10;16;9;717500
26;72;9;28;37;7;4000000
19;2;0;1;1;-2;925000
25;11;2;2;4;5;600000
25;33;2;7;9;4;725000
22;67;2;6;8;8;650000
20;2;0;0;0;1;640000
22;41;5;3;8;-1;650000
31;82;32;34;66;2;7000000
23;79;2;15;17;-11;2250000
21;11;0;2;2;0;692500
19;1;0;0;0;-2;925000
24;68;4;5;9;-12;600000
39;75;9;19;29;18;5000000
25;59;2;10;12;2;850000
26;81;12;12;24;-6;800000
37;82;20;13;33;1;2000000
29;18;1;4;5;8;775000
18;68;7;13;20;-14;925000
25;59;8;17;25;9;2500000
24;33;3;8;11;5;700000
24;31;2;9;11;3;600000
25;73;6;6;12;-2;1250000
29;66;5;15;20;2;3500000
31;80;5;7;12;-1;3700000
29;82;16;19;35;11;3100000
26;62;4;4;8;-21;2500000
27;81;5;21;26;26;2300000
25;23;1;1;2;-7;692500
30;77;8;12;20;-19;2400000
21;21;3;2;5;0;925000
27;11;1;3;4;0;575000
30;13;0;0;0;-4;1250000
26;24;0;1;1;-1;950000
24;66;15;8;23;20;850000
20;20;2;3;5;-7;925000
22;64;9;8;17;8;925000
23;4;0;0;0;-1;600000
23;60;6;10;16;-6;840000
27;73;25;27;52;11;6000000
24;66;14;20;34;12;3750000
24;82;18;38;56;13;2600000
31;69;10;6;16;9;600000
24;59;4;6;10;0;724500
29;75;44;45;89;17;10900000
19;72;5;7;12;-20;925000
40;72;13;18;31;4;1000000
24;49;5;8;13;-10;842500
25;43;2;4;6;-12;750000
33;56;5;14;19;7;2700000
27;9;1;2;3;0;600000
23;82;13;27;40;5;875000
22;38;4;7;11;0;925000
21;24;2;1;3;-2;767500
25;38;0;3;3;-2;1300000
25;82;5;20;25;15;2900000
21;9;0;0;0;-3;925000
22;1;0;0;0;0;575000
21;39;5;9;14;-13;925000
26;82;4;8;12;-22;4000000
26;51;6;12;18;-5;4000000
23;25;1;7;8;2;600000
28;81;9;19;28;-14;5500000
30;49;6;8;14;4;3500000
30;46;0;1;1;-6;800000
25;42;0;2;2;-6;775000
25;1;0;0;0;0;2600000
23;36;1;6;7;-12;867500
21;10;2;0;2;-3;925000
27;3;0;0;0;0;575000
26;81;2;8;10;-2;2750000
40;74;6;21;27;-3;3876134
21;59;9;29;38;-9;832500
24;61;6;11;17;-5;925000
30;14;1;3;4;-6;2500000
22;35;0;11;11;10;615000
27;82;12;32;44;8;7450000
26;70;6;16;22;-15;630000
26;9;0;2;2;0;625000
21;82;29;48;77;7;925000
21;73;21;32;53;-13;832500
30;80;12;29;41;16;5850000
25;77;18;23;41;-34;6000000
21;58;5;10;15;-7;832500
22;76;11;23;34;15;2350000
26;39;2;2;4;1;575000
25;70;1;14;15;0;800000
20;78;15;18;33;7;792500
24;81;14;18;32;7;750000
25;60;3;9;12;-7;3850000
32;79;32;19;51;-2;1000000
26;82;20;31;51;3;6000000
30;68;6;15;21;-20;6000000
23;69;3;12;15;11;900000
20;82;25;39;64;1;925000
20;61;24;33;57;-13;925000
20;68;10;11;21;-23;925000
26;82;3;20;23;4;3000000
25;79;12;27;39;-25;6000000
21;18;1;6;7;5;767500
27;81;12;13;25;15;4250000
25;71;16;22;38;17;2500000
30;76;2;8;10;1;4200000
34;81;4;12;16;2;2750000
20;5;0;0;0;-3;742500
27;51;5;8;13;-10;3650000
32;60;1;13;14;-7;5750000
32;51;1;8;9;-2;4250000
31;65;11;13;24;-9;8000000
19;15;3;4;7;1;925000
21;26;3;0;3;-9;925000
24;3;0;0;0;1;775000
20;51;11;18;29;-16;925000
22;80;12;21;33;-6;832500
28;52;0;8;8;-3;650000
27;3;0;0;0;0;575000
21;10;0;1;1;-1;925000
25;68;6;15;21;6;1000000
24;75;17;20;37;-18;5500000
29;4;0;2;2;1;3500000
28;27;0;7;7;3;600000
31;53;6;5;11;2;2000000
24;76;15;10;25;-1;900000
20;54;11;5;16;1;925000
36;59;2;2;4;-15;1250000
32;79;12;30;42;-1;5000000
19;7;3;0;3;0;817500
36;72;18;24;42;1;4000000
28;51;6;4;10;2;950000
25;80;13;10;23;-1;2250000
29;79;26;25;51;-4;5500000
25;51;2;6;8;10;850000
24;82;2;16;18;8;650000
20;1;0;0;0;0;900000
22;82;31;27;58;-4;6000000
20;38;2;3;5;3;767500
25;80;11;28;39;7;4000000
29;68;3;16;19;-5;2650000
23;2;0;0;0;-3;650000
25;6;0;0;0;-3;575000
28;82;17;27;44;13;5000000
34;56;10;11;21;-4;6075000
23;13;0;1;1;0;725000
27;81;18;32;50;10;650000
22;61;17;27;44;-5;3100000
24;64;10;19;29;7;4500000
31;27;2;1;3;-3;2000000
26;82;9;34;43;24;4050000
32;70;1;8;9;-8;3600000
23;4;0;1;1;0;874125
23;9;0;1;1;1;595000
23;72;18;43;61;-7;6750000
22;57;0;5;5;-2;832500
26;12;1;3;4;1;575000
21;21;2;1;3;2;832500
27;11;0;0;0;-2;700000
25;27;0;1;1;-4;1650000
31;74;15;58;73;7;9250000
33;18;1;4;5;-4;1400000
37;82;15;20;35;-11;3250000
33;26;1;5;6;9;575000
33;81;12;27;39;22;6750000
32;63;4;11;15;8;6000000
22;75;7;9;16;-7;1150000
28;82;14;44;58;-15;9000000
33;11;1;1;2;0;1000000
27;74;3;11;14;-10;675000
21;14;3;0;3;0;925000
31;82;6;30;36;-9;5375000
27;33;0;5;5;-11;800000
23;3;0;1;1;0;635000
33;13;1;0;1;-5;950000
32;66;1;5;6;-3;3900000
23;76;7;32;39;-21;925000
25;20;6;2;8;-1;575000
29;76;27;13;40;22;1650000
24;10;0;0;0;0;575000
23;69;19;13;32;-19;850000
24;81;26;43;69;23;3200000
26;46;0;4;4;-5;650000
23;52;7;2;9;7;600000
24;49;1;6;7;3;667500
31;72;14;22;36;-20;6000000
34;66;4;9;13;-16;5000000
33;26;1;1;2;3;2500000
20;5;0;1;1;-2;725000
25;3;0;0;0;-1;600000
23;24;0;5;5;6;625000
22;75;10;13;23;-14;1300000
23;4;0;1;1;-3;925000
31;3;0;0;0;-4;NA
28;40;2;4;6;-5;950000
22;2;0;0;0;0;792500
26;67;6;17;23;8;4000000
24;30;1;5;6;-14;3500000
22;40;16;17;33;7;667500
19;3;0;0;0;1;667500
30;56;0;6;6;-5;2900000
19;1;0;0;0;-1;NA
